dyad_id,date,ministry,admin,dual_office,hearing_type,q_speaker,q_word_count,q_text,r_speaker,r_text
LOSI_HEA_34092_유시민_0013,2006-02-08,보건복지부,노무현,True,HEARING,고경화 위원,6,"잘못됐습니까, 아니면 잘하신 것입니까? 그것만 말씀하세요.",보건복지부장관후보자 유시민,그렇게 딱 부러지게 물으시면……
LOSI_HEA_34088_김우식_0012,2006-02-07,과학기술부,노무현,False,HEARING,서상기 위원,10,87년도 같으면 전 국토가 투기 열풍이 몰아치던 그 시기 아닙니까?,부총리겸과학기술부장관후보자 김우식,"파주 신촌리 그쪽을 보시면 그 당시는 그야말로 철책선이 앞에 쳐다보이고 임야, 소나무가 좀 있고 그리고 길도 없었습니다. 그러나 제가 드라이브를 좋아하기 때문에 그쪽을 상당히 좋아했었습니다. 그러다가……"
LOSI_AUD_38669_전재희_0163,2009-10-23,보건복지부,이명박,True,AUDIT,이애주 위원,8,전혀 한 번도 코멘트가 없었다는 사람이 50%가 넘습니다.,보건복지가족부장관 전재희,지금 늦어서 가능할지는 모르겠지만 장기기증 하겠다고 등록되신 분들한테 해가 바뀌는 것을 계기로 해서 그런 뜻을 표해 줘서 고맙다는 것으로 해서 일괄적으로 한번 보내는 방안을 검토해 보겠습니다.
LOSI_AUD_38682_이만의_0302,2009-10-22,환경부,이명박,False,AUDIT,조해진 위원,10,장관님도 그 물들이 비교적 깨끗하게 관리되고 있다고는 생각 안 하시지요?,환경부장관 이만의,"제가 일선에서 시장을 할 때 바로 실내수영장의 수질이 얼마나 나쁜가 하는 것을 직접 체험했고요, 또 지금 현재 서울도 여름철에 강변 수영시설들을 전부 오픈 해 놓았을 때 가서 보면 걱정할 수밖에 없습니다. 그래서 이 부분은 오늘 존경하는 조해진 위원님이 지적해 주신 대로 앞으로 환경부의 적극적인 서비스 영역으로 확충해 나가도록 하겠습니다."
LOSI_HEA_46031_유일호_0241,2016-01-11,기획재정부,박근혜,True,HEARING,홍종학 위원,6,더불어민주당 홍종학입니다.  후보자 되신 걸 축하드리고요.,부총리겸기획재정부장관후보자 유일호,감사합니다.
LOSI_AUD_43236_윤진숙_0352,2013-11-01,해양수산부,박근혜,False,AUDIT,김춘진 위원,10,검토는 이미 내가 검토해서…… 이미 2007년에 해수부에서 예산 17억을 요구했어요.,해양수산부장관 윤진숙,요구를 했는데 안 된……
LOSI_AUD_49535_박영선_0089,2019-10-21,중소벤처기업부,문재인,True,AUDIT,이훈 위원,20,"서울 금천구 출신 이훈입니다.  스마트공장 관련해서 얘기를 조금 드리고 싶은데, 스마트공장 내역사업들은 대부분이 보면 결국은 ICT하고 연관돼 있는 사업들이 많습니다.",중소벤처기업부장관 박영선,"예, 그렇습니다."
LOSI_AUD_49467_홍남기_0009,2019-10-02,기획재정부,문재인,False,AUDIT,박명재 위원,8,그러면 2.0% 이하는 어떻습니까? 거기로 가서는 안 되겠지요.,부총리겸기획재정부장관 홍남기,일부 기관들이 그렇게 1%대 전망하는 기관도 있지만 아직까지는 대개 2% 넘게 전망하는 기관이 대다수고요. 정부로서는 최대한 성장률을 높일 수 있도록 노력하겠습니다.
LOSI_HEA_48360_진선미_0442,2018-09-20,여성가족부,문재인,True,HEARING,전희경 위원,7,그게 동성애 옹호 부분이라고 해석된다는 말씀이 아니고요……,여성가족부장관후보자 진선미,그러면요? 지금 이……
LOSI_HEA_48454_조명래_0328,2018-10-23,환경부,문재인,False,HEARING,전현희 위원,9,이 복수 위원회의 위촉 여부를 스크린하고 결정하는 주체는 누구인가요?,환경부장관후보자 조명래,정확하게 저는 알지 못합니다. 알지 못하는데……
